step,train_loss,val_loss,lr,grad_norm,tokens_seen
0,10.5309,,5.71e-07,2.2,0
10,10.3351,,6.29e-06,2.98,10485760
20,9.9987,,1.2e-05,1.17,20971520
30,9.8385,,1.77e-05,0.93,31457280
40,9.6351,,2.34e-05,0.89,41943040
50,9.3439,,2.91e-05,1.39,52428800
60,9.048,,3.49e-05,1.07,62914560
70,8.7656,,4.06e-05,1.1,73400320
80,8.4942,,4.63e-05,0.95,83886080
90,8.2477,,5.2e-05,1.13,94371840
100,8.011,,5.77e-05,0.97,104857600
110,7.8419,,6.34e-05,1.08,115343360
120,7.6711,,6.91e-05,1.18,125829120
130,7.4866,,7.49e-05,1.78,136314880
140,7.3297,,8.06e-05,1.66,146800640
150,7.187,,8.63e-05,1.24,157286400
160,7.0137,,9.2e-05,1.16,167772160
170,6.9442,,9.77e-05,1.16,178257920
180,6.8109,,0.000103,1.47,188743680
190,6.7315,,0.000109,1.28,199229440
200,6.6098,,0.000115,1.4,209715200
210,6.547,,0.000121,1.59,220200960
220,6.3932,,0.000126,1.51,230686720
230,6.3479,,0.000132,1.32,241172480
240,6.2431,,0.000138,1.09,251658240
250,6.1584,,0.000143,1.28,262144000
260,6.0896,,0.000149,1.14,272629760
270,6.0441,,0.000155,1.45,283115520
280,5.9832,,0.000161,1.1,293601280
290,5.8839,,0.000166,1.08,304087040
300,5.8342,,0.000172,1.32,314572800
310,5.7398,,0.000178,1.39,325058560
320,5.7589,,0.000183,1.33,335544320
330,5.7213,,0.000189,1.32,346030080
340,5.6589,,0.000195,1.12,356515840
350,5.5817,,0.000201,0.87,367001600
360,5.5078,,0.000206,1.11,377487360
370,5.4938,,0.000212,0.97,387973120
380,5.4927,,0.000218,1.02,398458880
390,5.4415,,0.000223,0.99,408944640
400,5.3451,,0.000229,1.3,419430400
410,5.3852,,0.000235,1.13,429916160
420,5.3258,,0.000241,0.78,440401920
430,5.2783,,0.000246,0.92,450887680
440,5.2502,,0.000252,0.99,461373440
450,5.2157,,0.000258,0.96,471859200
460,5.1649,,0.000263,0.71,482344960
470,5.1633,,0.000269,0.94,492830720
480,5.1396,,0.000275,0.92,503316480
490,5.1368,,0.000281,0.75,513802240
500,5.1027,,0.000286,0.94,524288000
510,5.0514,,0.000292,0.88,534773760
520,5.0096,,0.000298,0.75,545259520
