params: 109.5M | device: cuda
step     0 | loss 10.5309 | lr 5.71e-07 | gnorm 2.20 | 35,170 tok/s | mfu 19.3%
step    10 | loss 10.3351 | lr 6.29e-06 | gnorm 2.98 | 39,836 tok/s | mfu 21.8%
step    20 | loss 9.9987 | lr 1.20e-05 | gnorm 1.17 | 40,076 tok/s | mfu 21.9%
step    30 | loss 9.8385 | lr 1.77e-05 | gnorm 0.93 | 40,272 tok/s | mfu 22.1%
step    40 | loss 9.6351 | lr 2.34e-05 | gnorm 0.89 | 40,227 tok/s | mfu 22.0%
step    50 | loss 9.3439 | lr 2.91e-05 | gnorm 1.39 | 40,473 tok/s | mfu 22.2%
step    60 | loss 9.0480 | lr 3.49e-05 | gnorm 1.07 | 40,375 tok/s | mfu 22.1%
step    70 | loss 8.7656 | lr 4.06e-05 | gnorm 1.10 | 40,261 tok/s | mfu 22.0%
step    80 | loss 8.4942 | lr 4.63e-05 | gnorm 0.95 | 40,093 tok/s | mfu 22.0%
step    90 | loss 8.2477 | lr 5.20e-05 | gnorm 1.13 | 40,003 tok/s | mfu 21.9%
step   100 | loss 8.0110 | lr 5.77e-05 | gnorm 0.97 | 39,949 tok/s | mfu 21.9%
step   110 | loss 7.8419 | lr 6.34e-05 | gnorm 1.08 | 39,967 tok/s | mfu 21.9%
step   120 | loss 7.6711 | lr 6.91e-05 | gnorm 1.18 | 39,948 tok/s | mfu 21.9%
step   130 | loss 7.4866 | lr 7.49e-05 | gnorm 1.78 | 39,829 tok/s | mfu 21.8%
step   140 | loss 7.3297 | lr 8.06e-05 | gnorm 1.66 | 39,786 tok/s | mfu 21.8%
step   150 | loss 7.1870 | lr 8.63e-05 | gnorm 1.24 | 39,761 tok/s | mfu 21.8%
step   160 | loss 7.0137 | lr 9.20e-05 | gnorm 1.16 | 39,756 tok/s | mfu 21.8%
step   170 | loss 6.9442 | lr 9.77e-05 | gnorm 1.16 | 39,745 tok/s | mfu 21.8%
step   180 | loss 6.8109 | lr 1.03e-04 | gnorm 1.47 | 39,737 tok/s | mfu 21.8%
step   190 | loss 6.7315 | lr 1.09e-04 | gnorm 1.28 | 39,903 tok/s | mfu 21.9%
step   200 | loss 6.6098 | lr 1.15e-04 | gnorm 1.40 | 39,703 tok/s | mfu 21.7%
step   210 | loss 6.5470 | lr 1.21e-04 | gnorm 1.59 | 39,689 tok/s | mfu 21.7%
step   220 | loss 6.3932 | lr 1.26e-04 | gnorm 1.51 | 39,686 tok/s | mfu 21.7%
step   230 | loss 6.3479 | lr 1.32e-04 | gnorm 1.32 | 39,700 tok/s | mfu 21.7%
step   240 | loss 6.2431 | lr 1.38e-04 | gnorm 1.09 | 39,652 tok/s | mfu 21.7%
step   250 | loss 6.1584 | lr 1.43e-04 | gnorm 1.28 | 39,639 tok/s | mfu 21.7%
step   260 | loss 6.0896 | lr 1.49e-04 | gnorm 1.14 | 39,648 tok/s | mfu 21.7%
step   270 | loss 6.0441 | lr 1.55e-04 | gnorm 1.45 | 39,660 tok/s | mfu 21.7%
step   280 | loss 5.9832 | lr 1.61e-04 | gnorm 1.10 | 39,653 tok/s | mfu 21.7%
step   290 | loss 5.8839 | lr 1.66e-04 | gnorm 1.08 | 39,607 tok/s | mfu 21.7%
step   300 | loss 5.8342 | lr 1.72e-04 | gnorm 1.32 | 39,628 tok/s | mfu 21.7%
step   310 | loss 5.7398 | lr 1.78e-04 | gnorm 1.39 | 39,684 tok/s | mfu 21.7%
step   320 | loss 5.7589 | lr 1.83e-04 | gnorm 1.33 | 39,607 tok/s | mfu 21.7%
step   330 | loss 5.7213 | lr 1.89e-04 | gnorm 1.32 | 39,597 tok/s | mfu 21.7%
step   340 | loss 5.6589 | lr 1.95e-04 | gnorm 1.12 | 39,636 tok/s | mfu 21.7%
step   350 | loss 5.5817 | lr 2.01e-04 | gnorm 0.87 | 39,617 tok/s | mfu 21.7%
step   360 | loss 5.5078 | lr 2.06e-04 | gnorm 1.11 | 39,656 tok/s | mfu 21.7%
step   370 | loss 5.4938 | lr 2.12e-04 | gnorm 0.97 | 39,675 tok/s | mfu 21.7%
step   380 | loss 5.4927 | lr 2.18e-04 | gnorm 1.02 | 39,739 tok/s | mfu 21.8%
step   390 | loss 5.4415 | lr 2.23e-04 | gnorm 0.99 | 39,604 tok/s | mfu 21.7%
step   400 | loss 5.3451 | lr 2.29e-04 | gnorm 1.30 | 39,700 tok/s | mfu 21.7%
step   410 | loss 5.3852 | lr 2.35e-04 | gnorm 1.13 | 39,611 tok/s | mfu 21.7%
step   420 | loss 5.3258 | lr 2.41e-04 | gnorm 0.78 | 39,718 tok/s | mfu 21.8%
step   430 | loss 5.2783 | lr 2.46e-04 | gnorm 0.92 | 39,615 tok/s | mfu 21.7%
step   440 | loss 5.2502 | lr 2.52e-04 | gnorm 0.99 | 39,566 tok/s | mfu 21.7%
step   450 | loss 5.2157 | lr 2.58e-04 | gnorm 0.96 | 39,572 tok/s | mfu 21.7%
step   460 | loss 5.1649 | lr 2.63e-04 | gnorm 0.71 | 39,688 tok/s | mfu 21.7%
step   470 | loss 5.1633 | lr 2.69e-04 | gnorm 0.94 | 39,572 tok/s | mfu 21.7%
step   480 | loss 5.1396 | lr 2.75e-04 | gnorm 0.92 | 39,589 tok/s | mfu 21.7%
step   490 | loss 5.1368 | lr 2.81e-04 | gnorm 0.75 | 39,667 tok/s | mfu 21.7%
step   500 | loss 5.1027 | lr 2.86e-04 | gnorm 0.94 | 39,555 tok/s | mfu 21.7%
step   510 | loss 5.0514 | lr 2.92e-04 | gnorm 0.88 | 39,625 tok/s | mfu 21.7%
step   520 | loss 5.0096 | lr 2.98e-04 | gnorm 0.75 | 39,561 tok/s | mfu 21.7%
step   530 | loss 4.9802 | lr 3.03e-04 | gnorm 0.66 | 39,540 tok/s | mfu 21.7%
step   540 | loss 5.0574 | lr 3.09e-04 | gnorm 0.80 | 39,565 tok/s | mfu 21.7%
step   550 | loss 4.9243 | lr 3.15e-04 | gnorm 0.74 | 39,552 tok/s | mfu 21.7%
step   560 | loss 4.8748 | lr 3.21e-04 | gnorm 0.97 | 39,532 tok/s | mfu 21.6%
step   570 | loss 4.9002 | lr 3.26e-04 | gnorm 0.88 | 39,544 tok/s | mfu 21.7%
step   580 | loss 4.8675 | lr 3.32e-04 | gnorm 0.68 | 39,569 tok/s | mfu 21.7%
step   590 | loss 4.8493 | lr 3.38e-04 | gnorm 0.87 | 39,566 tok/s | mfu 21.7%
step   600 | loss 4.8279 | lr 3.43e-04 | gnorm 0.68 | 39,559 tok/s | mfu 21.7%
step   610 | loss 4.7187 | lr 3.49e-04 | gnorm 0.67 | 39,534 tok/s | mfu 21.7%
step   620 | loss 4.7358 | lr 3.55e-04 | gnorm 0.54 | 39,571 tok/s | mfu 21.7%
step   630 | loss 4.7810 | lr 3.61e-04 | gnorm 0.76 | 39,530 tok/s | mfu 21.6%
step   640 | loss 4.7502 | lr 3.66e-04 | gnorm 0.74 | 39,507 tok/s | mfu 21.6%
step   650 | loss 4.6412 | lr 3.72e-04 | gnorm 0.60 | 39,528 tok/s | mfu 21.6%
step   660 | loss 4.5948 | lr 3.78e-04 | gnorm 0.86 | 39,510 tok/s | mfu 21.6%
step   670 | loss 4.6530 | lr 3.83e-04 | gnorm 0.88 | 39,497 tok/s | mfu 21.6%
step   680 | loss 4.6164 | lr 3.89e-04 | gnorm 0.59 | 39,520 tok/s | mfu 21.6%
step   690 | loss 4.5998 | lr 3.95e-04 | gnorm 0.71 | 39,512 tok/s | mfu 21.6%
step   700 | loss 4.5488 | lr 4.00e-04 | gnorm 0.70 | 39,542 tok/s | mfu 21.7%
step   710 | loss 4.5618 | lr 4.00e-04 | gnorm 0.59 | 39,521 tok/s | mfu 21.6%
step   720 | loss 4.5392 | lr 4.00e-04 | gnorm 0.51 | 39,529 tok/s | mfu 21.6%
step   730 | loss 4.5531 | lr 4.00e-04 | gnorm 0.61 | 39,498 tok/s | mfu 21.6%
step   740 | loss 4.5188 | lr 4.00e-04 | gnorm 0.63 | 39,552 tok/s | mfu 21.7%
step   750 | loss 4.5132 | lr 4.00e-04 | gnorm 0.54 | 39,536 tok/s | mfu 21.7%
step   760 | loss 4.4629 | lr 4.00e-04 | gnorm 0.45 | 39,532 tok/s | mfu 21.6%
step   770 | loss 4.4975 | lr 4.00e-04 | gnorm 0.54 | 39,543 tok/s | mfu 21.7%
step   780 | loss 4.3995 | lr 4.00e-04 | gnorm 0.58 | 39,504 tok/s | mfu 21.6%
step   790 | loss 4.4406 | lr 4.00e-04 | gnorm 0.44 | 39,555 tok/s | mfu 21.7%
step   800 | loss 4.3936 | lr 4.00e-04 | gnorm 0.51 | 39,499 tok/s | mfu 21.6%
step   810 | loss 4.4028 | lr 4.00e-04 | gnorm 0.45 | 39,545 tok/s | mfu 21.7%
step   820 | loss 4.3659 | lr 4.00e-04 | gnorm 0.51 | 39,486 tok/s | mfu 21.6%
step   830 | loss 4.4325 | lr 4.00e-04 | gnorm 0.57 | 39,524 tok/s | mfu 21.6%
step   840 | loss 4.3555 | lr 4.00e-04 | gnorm 0.51 | 39,501 tok/s | mfu 21.6%
step   850 | loss 4.3120 | lr 4.00e-04 | gnorm 0.41 | 39,554 tok/s | mfu 21.7%
step   860 | loss 4.3512 | lr 4.00e-04 | gnorm 0.51 | 39,491 tok/s | mfu 21.6%
step   870 | loss 4.3369 | lr 4.00e-04 | gnorm 0.41 | 39,652 tok/s | mfu 21.7%
step   880 | loss 4.3504 | lr 4.00e-04 | gnorm 0.62 | 39,687 tok/s | mfu 21.7%
step   890 | loss 4.3473 | lr 4.00e-04 | gnorm 1.18 | 39,547 tok/s | mfu 21.7%
step   900 | loss 4.3585 | lr 4.00e-04 | gnorm 0.65 | 39,606 tok/s | mfu 21.7%
step   910 | loss 4.3153 | lr 4.00e-04 | gnorm 0.56 | 39,532 tok/s | mfu 21.6%
step   920 | loss 4.3201 | lr 4.00e-04 | gnorm 0.36 | 39,583 tok/s | mfu 21.7%
step   930 | loss 4.2665 | lr 4.00e-04 | gnorm 0.33 | 39,662 tok/s | mfu 21.7%
step   940 | loss 4.2477 | lr 4.00e-04 | gnorm 0.47 | 39,609 tok/s | mfu 21.7%
step   950 | loss 4.2243 | lr 4.00e-04 | gnorm 0.47 | 39,572 tok/s | mfu 21.7%
